Nodo padre,Nodo hijo,Caracteristica,Valor,Gini impurity,div 1 No in class 1,div 1 No in class 2,div 2 No in class 1,div 2 No in class 2
0,0,7,"(0.3, 0.7, 0.9)",0.3251762220271218,3272,1464,6239,6728
0,1,7,"(0.3, 0.6)",0.2754049753211157,1160,621,3272,1464
1,2,7,"(0.0,)",0.27617396848166076,239,99,1160,621
2,3,1,"(0.5, 0.9)",0.41354718613338665,234,97,239,99
3,4,1,"(0.5, 0.9)",0.41354718613338665,234,97,234,97
4,5,1,"(0.5, 0.9)",0.41354718613338665,234,97,234,97
4,6,1,"(0.5, 0.9)",0.41354718613338665,234,97,234,97
3,7,2,"(0.0, 0.5)",0.3849441157133465,239,99,239,99
7,8,2,"(0.0, 0.5)",0.3849441157133465,239,99,239,99
7,9,1,"(0.0, 1.0)",0.4132430470221017,239,99,239,99
2,10,4,"(0.0, 0.5, 0.9)",0.4398151415080779,1141,614,1160,621
10,11,4,"(0.0, 0.5, 0.9)",0.4398151415080779,1141,614,1141,614
11,12,3,"(0.0, 0.5, 0.9)",0.45417727254432444,1141,614,1141,614
11,13,0,"(0.9,)",0.0,0,316,1141,614
10,14,4,"(0.9,)",0.0,0,316,1160,621
1,15,3,"(0.5, 0.9)",0.421782807248938,3221,1418,3272,1464
15,16,3,"(0.5, 0.9)",0.421782807248938,3221,1418,3221,1418
16,17,10,"(0.5, 0.9)",0.4236477670005049,3221,1418,3221,1418
17,18,11,"(0.5, 0.9)",0.4240346830153944,3221,1418,3221,1418
17,19,4,"(0.5, 0.9)",0.4244711547288331,3221,1418,3221,1418
16,20,4,"(0.5, 0.9)",0.4244711547288331,3221,1418,3221,1418
20,21,8,"(0.5, 0.9)",0.4239439560251995,3221,1418,3221,1418
20,22,4,"(0.5, 0.9)",0.4244711547288331,3221,1418,3221,1418
15,23,7,"(0.5, 0.9)",0.39930540903724476,3221,1418,3272,1464
23,24,4,"(0.5, 0.9)",0.4244711547288331,3221,1418,3221,1418
24,25,1,"(0.5, 0.9)",0.42255171785858614,3221,1418,3221,1418
24,26,0,"(0.5, 0.9)",0.4049590939854608,3221,1418,3221,1418
23,27,2,"(0.5, 0.8)",0.41986855035446735,3221,1398,3272,1464
27,28,0,"(0.0, 0.5, 0.9)",0.39311840476280924,3221,1387,3221,1398
27,29,2,"(0.5, 0.8)",0.41986855035446735,3221,1398,3272,1464
0,30,2,"(0.5, 0.8)",0.40124471487355706,6151,2372,6239,6728
30,31,2,"(0.5, 0.9)",0.3977620844655904,6151,2326,6151,2372
31,32,2,"(0.5, 0.9)",0.3977620844655904,6151,2326,6151,2326
32,33,1,"(0.0, 0.5)",0.397913297774727,6151,2324,6151,2326
33,34,1,"(0.0, 0.5)",0.397913297774727,6151,2324,6151,2324
33,35,0,"(0.5, 0.9)",0.38779478505966763,6151,2326,6151,2326
32,36,0,"(0.5, 0.9)",0.38779478505966763,6151,2326,6151,2326
